token_GN	lemma_NL	upos	line	note	check
sums	soms	ADV	29	NA	NA
zulfs	zelfs	ADV	29	NA	NA
haalve	half	ADJ	29	NA	NA
Nederlaanders	nederlander	PROPN	29	NA	NA
nuimd	noemen	VERB	29	NA	NA
worden	worden	AUX	29	NA	NA
.	.	PUNCT	29	NA	NA
Tot	tot	ADP	30	NA	NA
aan	aan	ADP	30	NA	NA
de	de	DET	30	NA	NA
Twijde	twee	PROPN	30	NA	NA
Wereldkraig	Wereldkriegen	PROPN	30	NA	NA
tou	toen	ADP	30	NA	NA
was	zijn	AUX	30	NA	NA
de	de	DET	30	NA	NA
reloatsie	reloatsie	NOUN	30	NA	NA
tuzzen	tussen	ADP	30	NA	NA
Grunnen	Groningen	PROPN	30	NA	NA
en	en	CCONJ	30	NA	NA
Oostfraislaand	Oostfraisland	PROPN	30	NA	NA
hail	helemaal	ADJ	30	NA	NA
goud	goed	ADJ	30	NA	NA
.	.	PUNCT	30	NA	NA
As	als	SCONJ	31	NA	NA
de	de	DET	31	NA	NA
waarkgelegenhaid	waarkgelegenheid	NOUN	31	NA	NA
ien	in	ADP	31	NA	NA
Oostfraislaand	Oostfraisland	PROPN	31	NA	NA
beter	goed	ADJ	31	NA	NA
was	zijn	AUX	31	NA	NA
,	,	PUNCT	31	NA	NA
gingen	gaan	VERB	31	NA	NA
aarbaaiders	arbaaiders	NOUN	31	NA	NA
vanoet	vanuit	ADP	31	NA	NA
Grunnen	Groningen	PROPN	31	NA	NA
noar	naar	ADP	31	NA	NA
Oostfraislaand	Oostfraisland	PROPN	31	NA	NA
tou	toe	ADP	31	NA	NA
en	en	CCONJ	31	NA	NA
as	als	SCONJ	31	NA	NA
de	de	DET	31	NA	NA
waarkgelegenhaid	waarkgelegenheid	NOUN	31	NA	NA
ien	in	ADP	31	NA	NA
Grunnen	Groningen	PROPN	31	NA	NA
beter	goed	ADJ	31	NA	NA
was	zijn	AUX	31	NA	NA
,	,	PUNCT	31	NA	NA
den	dan	ADV	31	NA	NA
kwammen	komen	VERB	31	NA	NA
de	de	DET	31	NA	NA
Oostfraizen	Oostfraizen	PROPN	31	NA	NA
dizze	deze	DET	31	NA	NA
kaant	kant	NOUN	31	NA	NA
op	op	ADP	31	NA	NA
.	.	PUNCT	31	NA	NA
Doarom	daarom	ADV	32	NA	NA
zugst	zien	VERB	32	NA	NA
ook	ook	ADV	32	NA	NA
dat	dat	SCONJ	32	NA	NA
ien	in	ADP	32	NA	NA
t	het	DET	32	NA	NA
olle	oud	ADJ	32	NA	NA
Grunnegs	Gronings	PROPN	32	NA	NA
,	,	PUNCT	32	NA	NA
veuraal	vooral	ADV	32	NA	NA
t	het	DET	32	NA	NA
olle	oud	ADJ	32	NA	NA
Oldambtsters	Oldambtster	PROPN	32	NA	NA
,	,	PUNCT	32	NA	NA
n	een	DET	32	NA	NA
hail	heel	ADJ	32	NA	NA
ìnde	ìnd	ADJ	32	NA	NA
Duutsege	Duutseg	ADJ	32	NA	NA
woorden	woord	NOUN	32	NA	NA
zaten	zitten	VERB	32	NA	NA
en	en	CCONJ	32	NA	NA
dat	dat	SCONJ	32	NA	NA
de	de	DET	32	NA	NA
oetsproak	uitspraak	NOUN	32	NA	NA
sprekend	sprekennen	VERB	32	NA	NA
op	op	ADP	32	NA	NA
t	het	DET	32	NA	NA
Oostfrais	Oostfrais	PROPN	32	NA	NA
leek	lijken	VERB	32	NA	NA
.	.	PUNCT	32	NA	NA
Deur	door	ADP	33	NA	NA
de	de	DET	33	NA	NA
joaren	jaar	NOUN	33	NA	NA
hìn	heen	VERB	33	NA	NA
binnen	binnen	AUX	33	NA	NA
dizze	deze	DET	33	NA	NA
oostelke	oostelijk	NOUN	33	NA	NA
ienvlouden	ienvlouden	VERB	33	NA	NA
der	er	ADV	33	NA	NA
laanksoam	laankzaam	ADJ	33	NA	NA
oet	uit	ADP	33	NA	NA
goan	gaan	VERB	33	NA	NA
en	en	CCONJ	33	NA	NA
is	zijn	AUX	33	NA	NA
t	het	DET	33	NA	NA
Grunnegs	Gronings	PROPN	33	NA	NA
aal	al	ADV	33	NA	NA
meer	veel	ADV	33	NA	NA
noar	naar	ADP	33	NA	NA
t	het	DET	33	NA	NA
Nederlaands	Nederlaands	PROPN	33	NA	NA
tou	toe	ADP	33	NA	NA
gruid	groeien	VERB	33	NA	NA
.	.	PUNCT	33	NA	NA
Der	er	ADV	34	NA	NA
binnen	zijn	VERB	34	NA	NA
zulfs	zelfs	ADV	34	NA	NA
olle	oud	ADJ	34	NA	NA
lu	la	NOUN	34	NA	NA
dij	die	PRON	34	NA	NA
ien	in	ADP	34	NA	NA
t	het	DET	34	NA	NA
tegenswoordege	tegenswoordig	ADJ	34	NA	NA
Oostfrais	Oostfrais	PROPN	34	NA	NA
,	,	PUNCT	34	NA	NA
veuraal	vooral	ADV	34	NA	NA
t	het	PRON	34	NA	NA
Raaiderlaands	Raaiderlaands	PROPN	34	NA	NA
,	,	PUNCT	34	NA	NA
heur	haar	PRON	34	NA	NA
olluu	ollui	NOUN	34	NA	NA
weerheuren	weerheuren	VERB	34	NA	NA
.	.	PUNCT	34	NA	NA
Zo	zo	ADV	35	NA	NA
zeden	zijn	VERB	35	NA	NA
luu	lui	NOUN	35	NA	NA
ien	in	ADP	35	NA	NA
Grunnen	Groningen	PROPN	35	NA	NA
,	,	PUNCT	35	NA	NA
veuraal	vooral	ADV	35	NA	NA
t	het	PRON	35	NA	NA
Oldambt	Oldambt	PROPN	35	NA	NA
,	,	PUNCT	35	NA	NA
vrouger	vroeger	ADJ	35	NA	NA
gain	niet	DET	35	NA	NA
			0	NA	NA
“	“	PUNCT	36	NA	NA
op	op	ADP	36	NA	NA
”	”	PUNCT	36	NA	NA
mòr	mòr	NOUN	36	NA	NA
“	“	PUNCT	36	NA	NA
oep	uipen	INTJ	36	NA	NA
”	”	PUNCT	36	NA	NA
,	,	PUNCT	36	NA	NA
gain	niet	DET	36	NA	NA
“	“	PUNCT	36	NA	NA
proaten	spreken	VERB	36	NA	NA
”	”	PUNCT	36	NA	NA
,	,	PUNCT	36	NA	NA
mòr	mòr	NOUN	36	NA	NA
“	“	PUNCT	36	NA	NA
prouten	spreken	NOUN	36	NA	NA
"	"	PUNCT	36	NA	NA
,	,	PUNCT	36	NA	NA
gain	niet	DET	36	NA	NA
“	“	PUNCT	36	NA	NA
vertèld	vertèllen	VERB	36	NA	NA
"	"	PUNCT	36	NA	NA
,	,	PUNCT	36	NA	NA
môr	môr	ADV	36	NA	NA
“	“	PUNCT	36	NA	NA
vertjèld	vertjèllen	VERB	36	NA	NA
"	"	PUNCT	36	NA	NA
en	en	CCONJ	36	NA	NA
gain	niet	DET	36	NA	NA
'	'	PUNCT	36	NA	NA
"	"	PUNCT	36	NA	NA
vrauwger	vrauwger	ADJ	36	NA	NA
”	”	PUNCT	36	NA	NA
,	,	PUNCT	36	NA	NA
môr	môr	NOUN	36	NA	NA
“	“	PUNCT	36	NA	NA
vrjoouger	vrjooeger	ADJ	36	NA	NA
”	”	PUNCT	36	NA	NA
.	.	PUNCT	36	NA	NA
len	len	VERB	36	NA	NA
t	het	DET	36	NA	NA
Oostfrais	Oostfrais	NOUN	36	NA	NA
is	zijn	AUX	36	NA	NA
t	het	PRON	36	NA	NA
liek	recht	ADV	36	NA	NA
aansom	andersom	ADV	36	NA	NA
.	.	PUNCT	36	NA	NA
Zee	zeggen	ADJ	37	NA	NA
man	man	NOUN	37	NA	NA
doar	daar	ADV	37	NA	NA
vrouger	vroeger	ADJ	37	NA	NA
van	van	ADP	37	NA	NA
“	“	PUNCT	37	NA	NA
mòr	mòr	NOUN	37	NA	NA
”	”	PUNCT	37	NA	NA
of	of	CCONJ	37	NA	NA
“	“	PUNCT	37	NA	NA
man	man	NOUN	37	NA	NA
”	”	PUNCT	37	NA	NA
,	,	PUNCT	37	NA	NA
nou	nou	ADV	37	NA	NA
is	zijn	AUX	37	NA	NA
t	het	PRON	37	NA	NA
“	“	PUNCT	37	NA	NA
oaber	oaber	NOUN	37	NA	NA
”	”	PUNCT	37	NA	NA
,	,	PUNCT	37	NA	NA
Doar	daar	ADV	37	NA	NA
woar	waar	ADV	37	NA	NA
vrouger	vroeger	ADJ	37	NA	NA
“	“	PUNCT	37	NA	NA
bünnen	bünnen	AUX	37	NA	NA
”	”	PUNCT	37	NA	NA
zêgd	zêggen	VERB	37	NA	NA
wör	worden	AUX	37	NA	NA
,	,	PUNCT	37	NA	NA
zègt	zègen	VERB	37	NA	NA
man	man	NOUN	37	NA	NA
nou	nou	ADV	37	NA	NA
,	,	PUNCT	37	NA	NA
ook	ook	ADV	37	NA	NA
ien	in	ADP	37	NA	NA
t	het	DET	37	NA	NA
Raaiderlaand	Raaiderland	PROPN	37	NA	NA
,	,	PUNCT	37	NA	NA
aal	al	ADV	37	NA	NA
meer	veel	ADV	37	NA	NA
Ysünd	Ysünd	PROPN	37	NA	NA
"	"	PUNCT	37	NA	NA
.	.	PUNCT	37	NA	NA
			0	NA	NA
Behaalve	behalve	SCONJ	38	NA	NA
de	de	DET	38	NA	NA
lainwoorden	lainwoorden	NOUN	38	NA	NA
komt	komen	VERB	38	NA	NA
tegenswoordeg	tegenswoordig	ADJ	38	NA	NA
de	de	DET	38	NA	NA
woordenschat	woordenschat	NOUN	38	NA	NA
van	van	ADP	38	NA	NA
t	het	DET	38	NA	NA
Grunnegs	Gronings	PROPN	38	NA	NA
en	en	CCONJ	38	NA	NA
t	het	DET	38	NA	NA
Oostfrais	Oostfrais	PROPN	38	NA	NA
nog	nog	ADV	38	NA	NA
wel	wel	ADV	38	NA	NA
grotendails	grotendail	ADJ	38	NA	NA
overain	overien	ADV	38	NA	NA
.	.	PUNCT	38	NA	NA
Woorden	wooren	VERB	39	NA	NA
as	als	SCONJ	39	NA	NA
“	“	PUNCT	39	NA	NA
lutje	klein	ADJ	39	NA	NA
”	”	PUNCT	39	NA	NA
(	(	PUNCT	39	NA	NA
lüttje	lüt	NOUN	39	NA	NA
)	)	PUNCT	39	NA	NA
,	,	PUNCT	39	NA	NA
"	"	PUNCT	39	NA	NA
scheuvel	scheuvel	NOUN	39	NA	NA
"	"	PUNCT	39	NA	NA
(	(	PUNCT	39	NA	NA
Schöfel	Schöfel	NOUN	39	NA	NA
)	)	PUNCT	39	NA	NA
,	,	PUNCT	39	NA	NA
"	"	PUNCT	39	NA	NA
beune	beon	NOUN	39	NA	NA
"	"	PUNCT	39	NA	NA
(	(	PUNCT	39	NA	NA
Böhn	Böhn	NOUN	39	NA	NA
)	)	PUNCT	39	NA	NA
,	,	PUNCT	39	NA	NA
"	"	PUNCT	39	NA	NA
loug	dorp	NOUN	39	NA	NA
”	”	PUNCT	39	NA	NA
(	(	PUNCT	39	NA	NA
Loog	Loog	ADJ	39	NA	NA
)	)	PUNCT	39	NA	NA
en	en	CCONJ	39	NA	NA
“	“	PUNCT	39	NA	NA
genoat	genaat	INTJ	39	NA	NA
”	”	PUNCT	39	NA	NA
(	(	PUNCT	39	NA	NA
Garnaat	garnaat	INTJ	39	NA	NA
)	)	PUNCT	39	NA	NA
kommen	komen	VERB	39	NA	NA
,	,	PUNCT	39	NA	NA
wat	wat	PRON	39	NA	NA
de	de	DET	39	NA	NA
oetsproak	uitspraak	NOUN	39	NA	NA
aangaait	aangaan	VERB	39	NA	NA
,	,	PUNCT	39	NA	NA
hailmoal	helmaal	ADV	39	NA	NA
overain	overien	VERB	39	NA	NA
.	.	PUNCT	39	NA	NA
Grunnegers	groninger	NOUN	40	NA	NA
en	en	CCONJ	40	NA	NA
Oostfraizen	Oostfraizen	PROPN	40	NA	NA
kinnen	kunnen	AUX	40	NA	NA
mekoar	elkaar	PRON	40	NA	NA
over	over	ADP	40	NA	NA
t	het	DET	40	NA	NA
aalgemain	aalgemeen	NOUN	40	NA	NA
den	dan	ADV	40	NA	NA
ook	ook	ADV	40	NA	NA
goud	goed	ADJ	40	NA	NA
verstoan	verstaan	VERB	40	NA	NA
.	.	PUNCT	40	NA	NA
Toch	toch	ADV	41	NA	NA
is	zijn	AUX	41	NA	NA
t	het	PRON	41	NA	NA
zo	zo	ADV	41	NA	NA
dat	dat	SCONJ	41	NA	NA
as	als	SCONJ	41	NA	NA
n	een	DET	41	NA	NA
Grunneger	Groninger	NOUN	41	NA	NA
ien	in	ADP	41	NA	NA
Oostfraislaand	Oostfraisland	PROPN	41	NA	NA
komt	komen	VERB	41	NA	NA
,	,	PUNCT	41	NA	NA
dat	dat	PRON	41	NA	NA
er	er	ADV	41	NA	NA
den	dan	ADV	41	NA	NA
voak	vaak	ADJ	41	NA	NA
begunt	beginnen	VERB	41	NA	NA
op	op	ADP	41	NA	NA
zien	zijn	PRON	41	NA	NA
Hoogduuts	Hoogduits	PROPN	41	NA	NA
.	.	PUNCT	41	NA	NA
Dit	dit	PRON	42	NA	NA
komt	komen	VERB	42	NA	NA
deurdat	deurdat	ADV	42	NA	NA
noa	na	ADP	42	NA	NA
de	de	DET	42	NA	NA
twijde	twee	ADJ	42	NA	NA
wereldkraig	wereldkrieg	NOUN	42	NA	NA
de	de	DET	42	NA	NA
grup	grip	NOUN	42	NA	NA
tuzzen	tussen	ADP	42	NA	NA
Duutslaand	Duitsland	PROPN	42	NA	NA
en	en	CCONJ	42	NA	NA
Nederlaand	Nederland	PROPN	42	NA	NA
psychologisch	psychologisch	NOUN	42	NA	NA
aandikt	opdikken	VERB	42	NA	NA
is	zijn	AUX	42	NA	NA
.	.	PUNCT	42	NA	NA
Dit	dit	PRON	43	NA	NA
het	hebben	AUX	43	NA	NA
tou	tot	ADP	43	NA	NA
gevòlgen	gevòlg	NOUN	43	NA	NA
had	hebben	VERB	43	NA	NA
,	,	PUNCT	43	NA	NA
dat	dat	SCONJ	43	NA	NA
de	de	DET	43	NA	NA
Oostfraizen	Oostfraizen	NOUN	43	NA	NA
gaauwer	gauw	ADJ	43	NA	NA
as	als	SCONJ	43	NA	NA
Duutsers	Duitser	NOUN	43	NA	NA
zain	zien	VERB	43	NA	NA
wörren	wörren	VERB	43	NA	NA
as	als	SCONJ	43	NA	NA
dat	dat	SCONJ	43	NA	NA
zai	zij	PRON	43	NA	NA
as	als	SCONJ	43	NA	NA
Oostfraizen	Oostfraizen	PROPN	43	NA	NA
beschaauwd	beschauwd	ADJ	43	NA	NA
worden	worden	AUX	43	NA	NA
.	.	PUNCT	43	NA	NA
Ook	ook	ADV	44	NA	NA
het	hebben	AUX	44	NA	NA
t	het	PRON	44	NA	NA
der	er	ADV	44	NA	NA
mit	mee	ADP	44	NA	NA
tou	toe	ADP	44	NA	NA
doun	doen	VERB	44	NA	NA
dat	dat	SCONJ	44	NA	NA
veul	veel	PRON	44	NA	NA
Grunnegers	groninger	NOUN	44	NA	NA
nait	niet	PART	44	NA	NA
goud	goed	ADJ	44	NA	NA
waiten	weten	VERB	44	NA	NA
dat	dat	PRON	44	NA	NA
man	man	NOUN	44	NA	NA
ien	in	ADP	44	NA	NA
			0	NA	NA
Oostfraislaand	Oostfraisland	PROPN	45	NA	NA
binoa	bina	ADP	45	NA	NA
dezulfde	dezelfde	DET	45	NA	NA
toal	taal	NOUN	45	NA	NA
proaten	spreken	VERB	45	NA	NA
.	.	PUNCT	45	NA	NA
Doarnoast	daarnaast	ADV	46	NA	NA
is	zijn	AUX	46	NA	NA
t	het	PRON	46	NA	NA
ook	ook	ADV	46	NA	NA
zo	zo	ADV	46	NA	NA
dat	dat	PRON	46	NA	NA
dialekten	dialekten	NOUN	46	NA	NA
oetstaarven	oetstaarven	VERB	46	NA	NA
,	,	PUNCT	46	NA	NA
woardeur	woardoor	PRON	46	NA	NA
man	man	NOUN	46	NA	NA
nait	niet	PART	46	NA	NA
bie	bij	ADP	46	NA	NA
elkenain	iedereen	PRON	46	NA	NA
meer	veel	ADV	46	NA	NA
terècht	terècht	VERB	46	NA	NA
kin	kunnen	AUX	46	NA	NA
mit	met	ADP	46	NA	NA
de	de	DET	46	NA	NA
streektoal	streektaal	NOUN	46	NA	NA
.	.	PUNCT	46	NA	NA
			0	NA	NA
Ien	in	ADP	47	NA	NA
t	het	DET	47	NA	NA
westen	westen	NOUN	47	NA	NA
het	hebben	AUX	47	NA	NA
t	het	PRON	47	NA	NA
Grunnegs	Gronings	PROPN	47	NA	NA
n	een	DET	47	NA	NA
lichte	licht	ADJ	47	NA	NA
verbondschop	verbondschap	NOUN	47	NA	NA
mit	met	ADP	47	NA	NA
t	het	DET	47	NA	NA
Westlaauwers	Westlaauwer	PROPN	47	NA	NA
Frais	Frais	PROPN	47	NA	NA
.	.	PUNCT	47	NA	NA
Ien	in	ADP	48	NA	NA
t	het	DET	48	NA	NA
Westerkertierse	Westerkertierse	PROPN	48	NA	NA
dialekt	dialeken	VERB	48	NA	NA
het	hebben	DET	48	NA	NA
man	man	NOUN	48	NA	NA
veul	veel	ADV	48	NA	NA
woorden	woord	NOUN	48	NA	NA
dij	die	PRON	48	NA	NA
ien	in	ADP	48	NA	NA
de	de	DET	48	NA	NA
rest	rest	NOUN	48	NA	NA
van	van	ADP	48	NA	NA
Grunnen	Groningen	PROPN	48	NA	NA
voak	vaak	ADJ	48	NA	NA
nait	niet	PART	48	NA	NA
veurkommen	veurkomen	VERB	48	NA	NA
,	,	PUNCT	48	NA	NA
môr	môr	ADV	48	NA	NA
wel	wel	ADV	48	NA	NA
ien	in	ADP	48	NA	NA
Fraislaand	Fraisland	PROPN	48	NA	NA
.	.	PUNCT	48	NA	NA
Veurbeelden	veurbeeuden	NOUN	49	NA	NA
hiervan	hier	ADV	49	NA	NA
binnen	binnen	AUX	49	NA	NA
mem	mem	NOUN	49	NA	NA
(	(	PUNCT	49	NA	NA
moeke	moeder	NOUN	49	NA	NA
/	/	PUNCT	49	NA	NA
mouder	moeder	NOUN	49	NA	NA
)	)	PUNCT	49	NA	NA
,	,	PUNCT	49	NA	NA
leit	leit	VERB	49	NA	NA
(	(	PUNCT	49	NA	NA
ligt	liggen	VERB	49	NA	NA
)	)	PUNCT	49	NA	NA
en	en	CCONJ	49	NA	NA
jem	jem	NOUN	49	NA	NA
(	(	PUNCT	49	NA	NA
joe	jij	PRON	49	NA	NA
)	)	PUNCT	49	NA	NA
.	.	PUNCT	49	NA	NA
Ook	ook	ADV	50	NA	NA
kent	kunnen	VERB	50	NA	NA
t	het	PRON	50	NA	NA
Westerkertaaiers	Westerkertaaiers	ADV	50	NA	NA
veul	veel	PRON	50	NA	NA
toonhoogteverschillen	toonhoogteverschilling	NOUN	50	NA	NA
dij	die	DET	50	NA	NA
typisch	typisch	NOUN	50	NA	NA
binnen	zijn	AUX	50	NA	NA
veur	voor	ADP	50	NA	NA
t	het	DET	50	NA	NA
Frais	Frais	PROPN	50	NA	NA
,	,	PUNCT	50	NA	NA
mòr	mòr	ADV	50	NA	NA
nait	niet	PART	50	NA	NA
veur	voor	ADP	50	NA	NA
de	de	DET	50	NA	NA
aander	ander	ADJ	50	NA	NA
Grunnegse	Gronings	NOUN	50	NA	NA
dialekten	dialekten	VERB	50	NA	NA
.	.	PUNCT	50	NA	NA
Ien	in	ADP	51	NA	NA
t	het	DET	51	NA	NA
zuden	zuiden	NOUN	51	NA	NA
gaait	gaan	VERB	51	NA	NA
t	het	DET	51	NA	NA
Stadjeders	Stadjeder	NOUN	51	NA	NA
over	over	ADP	51	NA	NA
ien	in	ADP	51	NA	NA
t	het	DET	51	NA	NA
Noordvelds	Noordvelds	NOUN	51	NA	NA
dat	dat	PRON	51	NA	NA
ook	ook	ADV	51	NA	NA
voak	vaak	ADJ	51	NA	NA
tou	tot	ADP	51	NA	NA
de	de	DET	51	NA	NA
Grunnegse	Gronings	ADJ	51	NA	NA
dialekten	dialekten	NOUN	51	NA	NA
rekend	rekenen	VERB	51	NA	NA
wordt	worden	AUX	51	NA	NA
.	.	PUNCT	51	NA	NA
Dit	dit	PRON	52	NA	NA
dialekt	dialeken	VERB	52	NA	NA
gaait	gaan	VERB	52	NA	NA
weer	weer	ADV	52	NA	NA
over	over	ADP	52	NA	NA
ien	in	ADP	52	NA	NA
t	het	DET	52	NA	NA
Midden	midden	PROPN	52	NA	NA
Drìnts	drìnts	PROPN	52	NA	NA
.	.	PUNCT	52	NA	NA
De	de	DET	53	NA	NA
belaangriekste	belaangriek	ADJ	53	NA	NA
overgang	overgang	NOUN	53	NA	NA
is	zijn	AUX	53	NA	NA
dijent	die	PRON	53	NA	NA
van	van	ADP	53	NA	NA
ai	ij	ADV	53	NA	NA
”	”	PUNCT	53	NA	NA
noar	naar	ADP	53	NA	NA
"	"	PUNCT	53	NA	NA
eel	eel	NOUN	53	NA	NA
"	"	PUNCT	53	NA	NA
noar	naar	ADP	53	NA	NA
“	“	PUNCT	53	NA	NA
ie	jij	PRON	53	NA	NA
”	”	PUNCT	53	NA	NA
en	en	CCONJ	53	NA	NA
dijent	die	NUM	53	NA	NA
van	van	ADP	53	NA	NA
“	“	PUNCT	53	NA	NA
ou	oe	INTJ	53	NA	NA
”	”	PUNCT	53	NA	NA
noar	naar	ADP	53	NA	NA
"	"	PUNCT	53	NA	NA
oou	ooe	ADV	53	NA	NA
”	”	PUNCT	53	NA	NA
noar	naar	ADP	53	NA	NA
"	"	PUNCT	53	NA	NA
oe	u	INTJ	53	NA	NA
"	"	PUNCT	53	NA	NA
.	.	PUNCT	53	NA	NA
De	de	DET	54	NA	NA
grìns	grìns	NOUN	54	NA	NA
tuzzen	tussen	ADP	54	NA	NA
ou	oe	NOUN	54	NA	NA
en	en	CCONJ	54	NA	NA
oou	ooe	NOUN	54	NA	NA
(	(	PUNCT	54	NA	NA
dat	dat	PRON	54	NA	NA
oetsproken	uitspreken	VERB	54	NA	NA
wordt	worden	AUX	54	NA	NA
as	als	SCONJ	54	NA	NA
de	de	DET	54	NA	NA
Grunnegse	Groningse	NOUN	54	NA	NA
“	“	PUNCT	54	NA	NA
oo	oo	INTJ	54	NA	NA
”	”	PUNCT	54	NA	NA
)	)	PUNCT	54	NA	NA
wordt	worden	AUX	54	NA	NA
zain	zien	VERB	54	NA	NA
as	als	SCONJ	54	NA	NA
de	de	DET	54	NA	NA
grìns	grìns	NOUN	54	NA	NA
tuzzen	tussen	ADP	54	NA	NA
t	het	DET	54	NA	NA
Grunnegs	Gronings	PROPN	54	NA	NA
en	en	CCONJ	54	NA	NA
t	het	DET	54	NA	NA
Drìnts	drìnts	PROPN	54	NA	NA
.	.	PUNCT	54	NA	NA
Doarnoast	daarnaast	ADV	55	NA	NA
binnen	zijn	AUX	55	NA	NA
der	er	ADV	55	NA	NA
ook	ook	ADV	55	NA	NA
woorden	wooren	NOUN	55	NA	NA
dij	die	PRON	55	NA	NA
van	van	ADP	55	NA	NA
wiedere	wiedere	ADJ	55	NA	NA
òfkomst	òfkomst	NOUN	55	NA	NA
binnen	zijn	AUX	55	NA	NA
,	,	PUNCT	55	NA	NA
noamelk	namelijk	ADV	55	NA	NA
Latainse	Latains	PROPN	55	NA	NA
.	.	PUNCT	55	NA	NA
Sumtieds	sumtieds	ADV	56	NA	NA
			0	NA	NA
binnen	zijn	AUX	57	NA	NA
dij	die	PRON	57	NA	NA
via	via	ADP	57	NA	NA
t	het	DET	57	NA	NA
Nederlaands	Nederlaands	PROPN	57	NA	NA
,	,	PUNCT	57	NA	NA
Duuts	Duits	PROPN	57	NA	NA
of	of	CCONJ	57	NA	NA
t	het	DET	57	NA	NA
Fraans	Frans	PROPN	57	NA	NA
ien	in	ADP	57	NA	NA
t	het	DET	57	NA	NA
Grunnegs	Gronings	PROPN	57	NA	NA
kommen	komen	VERB	57	NA	NA
,	,	PUNCT	57	NA	NA
mòr	mòr	AUX	57	NA	NA
sumtieds	soms	ADV	57	NA	NA
ook	ook	ADV	57	NA	NA
direkt	direct	ADJ	57	NA	NA
.	.	PUNCT	57	NA	NA
Veurbeelden	veurbeeuden	NOUN	58	NA	NA
hiervan	hier	VERB	58	NA	NA
binnen	zijn	AUX	58	NA	NA
:	:	PUNCT	58	NA	NA
loug	dorp	NOUN	58	NA	NA
(	(	PUNCT	58	NA	NA
locus	locus	NOUN	58	NA	NA
)	)	PUNCT	58	NA	NA
,	,	PUNCT	58	NA	NA
hörn	hoek	NOUN	58	NA	NA
(	(	PUNCT	58	NA	NA
cornu	corn	INTJ	58	NA	NA
)	)	PUNCT	58	NA	NA
,	,	PUNCT	58	NA	NA
aiw	aiw	ADV	58	NA	NA
(	(	PUNCT	58	NA	NA
aevum	evum	NOUN	58	NA	NA
;	;	PUNCT	58	NA	NA
tiedperk	tiedperk	NOUN	58	NA	NA
)	)	PUNCT	58	NA	NA
,	,	PUNCT	58	NA	NA
sikkom	bijna	ADV	58	NA	NA
(	(	PUNCT	58	NA	NA
circum	circum	NOUN	58	NA	NA
)	)	PUNCT	58	NA	NA
,	,	PUNCT	58	NA	NA
keroazie	moed	NOUN	58	NA	NA
(	(	PUNCT	58	NA	NA
coraticum	coraticum	NOUN	58	NA	NA
)	)	PUNCT	58	NA	NA
,	,	PUNCT	58	NA	NA
trankiel	rustig	ADJ	58	NA	NA
(	(	PUNCT	58	NA	NA
tranquillus	tranquillus	NOUN	58	NA	NA
)	)	PUNCT	58	NA	NA
,	,	PUNCT	58	NA	NA
edik	edik	NOUN	58	NA	NA
(	(	PUNCT	58	NA	NA
acetum	cetum	NOUN	58	NA	NA
)	)	PUNCT	58	NA	NA
en	en	CCONJ	58	NA	NA
riepe	stoep	NOUN	58	NA	NA
(	(	PUNCT	58	NA	NA
ripa	ripa	NOUN	58	NA	NA
;	;	PUNCT	58	NA	NA
smalle	smal	ADJ	58	NA	NA
laandstrook	laandstrook	NOUN	58	NA	NA
)	)	PUNCT	58	NA	NA
.	.	PUNCT	58	NA	NA
			0	NA	NA
Over	over	ADP	59	NA	NA
t	het	DET	59	NA	NA
aalgemain	aalgemeen	NOUN	59	NA	NA
kin	kunnen	AUX	59	NA	NA
man	man	PRON	59	NA	NA
zèggen	zèggen	VERB	59	NA	NA
dat	dat	SCONJ	59	NA	NA
de	de	DET	59	NA	NA
dialekten	dialekten	NOUN	59	NA	NA
ongeveer	ongeveer	ADV	59	NA	NA
overainkommen	overainkomen	VERB	59	NA	NA
mit	met	ADP	59	NA	NA
de	de	DET	59	NA	NA
olle	oud	ADJ	59	NA	NA
politieke	politijk	NOUN	59	NA	NA
grìnzen	grìns	VERB	59	NA	NA
binnen	zijn	AUX	59	NA	NA
de	de	DET	59	NA	NA
provìnzie	provìnzie	NOUN	59	NA	NA
.	.	PUNCT	59	NA	NA
De	de	DET	60	NA	NA
olle	oud	ADJ	60	NA	NA
Ommelanden	Ommeland	NOUN	60	NA	NA
binnen	zijn	AUX	60	NA	NA
dails	dail	ADV	60	NA	NA
zichtboar	zichtbaar	ADJ	60	NA	NA
.	.	PUNCT	60	NA	NA
t	het	DET	60	NA	NA
Oldambtsters	Oldambtster	NOUN	60	NA	NA
wordt	worden	AUX	60	NA	NA
anders	anders	ADV	60	NA	NA
nait	niet	PART	60	NA	NA
allend	allend	ADV	60	NA	NA
ien	in	ADP	60	NA	NA
t	het	DET	60	NA	NA
Oldambt	Oldambt	PROPN	60	NA	NA
proat	spreken	VERB	60	NA	NA
,	,	PUNCT	60	NA	NA
môr	môr	ADV	60	NA	NA
ook	ook	ADV	60	NA	NA
ien	in	ADP	60	NA	NA
t	het	DET	60	NA	NA
oostelke	oostelijk	ADJ	60	NA	NA
dail	deel	NOUN	60	NA	NA
van	van	ADP	60	NA	NA
t	het	DET	60	NA	NA
Fivelgo	Fivelgo	PROPN	60	NA	NA
,	,	PUNCT	60	NA	NA
ook	ook	ADV	60	NA	NA
wel	wel	ADV	60	NA	NA
bekend	bekend	ADJ	60	NA	NA
as	als	SCONJ	60	NA	NA
