token_GN	lemma_NL	upos	line	note
Neuteboom	Neuteboom	ADV	50	
gebroekte	gebroekt	ADJ	50	
net	net	ADV	50	
as	als	SCONJ	50	
G.	g.	PROPN	50	
Teis	Teis	ADV	51	
leiver	leiver	ADJ	51	
ao	ao	ADV	51	
as	als	SCONJ	51	
oa	aan	NOUN	51	
.	.	PUNCT	51	
Zi	Zi	PRON	52	
zolt	zullen	AUX	52	
wizzelk	wisselijk	ADJ	52	
kontakt	kontact	NOUN	52	
mit	met	ADP	52	
einander	einander	NOUN	52	
had	hebben	VERB	52	
hebben	hebben	AUX	52	
en	en	CCONJ	52	
einander	einander	ADJ	52	
up	ep	NOUN	52	
dei	deien	ADV	52	
schriefwies	schriefwijs	ADJ	52	
meugelk	mogelijk	ADJ	52	
ok	ok	NOUN	52	
beinvloud	beinvloed	VERB	52	
hebben	hebben	AUX	52	
.	.	PUNCT	52	
De	de	DET	53	
kenmaarken	kenmaark	NOUN	53	
van	van	ADP	53	
t	het	DET	53	
oolde	ooud	NOUN	53	
Westerwoolds	Westerwoolds	PROPN	53	
verschilt	verschilen	VERB	53	
staark	sterk	ADJ	53	
van	van	ADP	53	
de	de	DET	53	
anner	andnere	NOUN	53	
Grönnegse	Grönnegs	PROPN	53	
dialekten	dialekten	VERB	53	
.	.	PUNCT	53	
Zo	zo	ADV	54	
as	als	SCONJ	54	
al	al	ADV	54	
nuimd	noemen	VERB	54	
,	,	PUNCT	54	
kwam	komen	VERB	54	
dit	dit	PRON	54	
deur	door	ADP	54	
de	de	DET	54	
isoleerd	isoleren	NOUN	54	
liggen	liggen	VERB	54	
van	van	ADP	54	
t	het	DET	54	
gebiet	gebijt	NOUN	54	
.	.	PUNCT	54	
Zugt	zien	VERB	55	
t	het	DET	55	
gedeilte	gedeilte	NOUN	55	
Westerwoolds	Westerwoolds	PROPN	55	
van	van	ADP	55	
de	de	DET	55	
Grönnegse	Grönnegs	NOUN	55	
taolwiezer	taolwieos	NOUN	55	
veur	voor	ADP	55	
n	een	DET	55	
overzicht	overzicht	NOUN	55	
van	van	ADP	55	
typische	typischij	DET	55	
Westerwooldse	Westerwoolds	PROPN	55	
eigensheden	eigensheden	VERB	55	
.	.	PUNCT	55	
t	het	PRON	55	
Westerwoolds	Westerwoolds	VERB	55	
is	zijn	AUX	55	
sunt	sinds	ADP	55	
de	de	DET	55	
ontginnen	ontginnen	NOUN	55	
van	van	ADP	55	
de	de	DET	55	
veengebieden	veengebieden	NOUN	55	
veur	voor	ADP	55	
t	het	DET	55	
grootste	groot	ADJ	55	
gedeilte	gedeilte	NOUN	55	
saomensmelt	saomensmelen	VERB	55	
mit	met	ADP	55	
de	de	DET	55	
umringen	umring	NOUN	55	
dialekten	dialekten	VERB	55	
,	,	PUNCT	55	
mit	met	ADP	55	
naome	naom	NOUN	55	
t	het	PRON	55	
Veenkeloniaols	Veenkeloniaols	PROPN	55	
.	.	PUNCT	55	
Hierdeur	doorHier	ADV	56	
zol	zullen	AUX	56	
man	man	NOUN	56	
zèggen	zèggen	VERB	56	
kennen	kunnen	AUX	56	
,	,	PUNCT	56	
dat	dat	PRON	56	
der	er	ADV	56	
twei	twei	ADJ	56	
dialekten	dialekten	ADJ	56	
praot	praot	NOUN	56	
wodt	woden	VERB	56	
in	in	ADP	56	
Westerwoolde	Westerwoollen	PROPN	56	
,	,	PUNCT	56	
t	het	PRON	56	
Oold-Westerwoolds	Oold-Westerwoolds	PROPN	56	
en	en	CCONJ	56	
t	het	DET	56	
Nei-Westerwoolds	Nei-Westerwoolds	PROPN	56	
.	.	PUNCT	56	
t	het	DET	56	
NeiWesterwoolds	NeiWesterwoolds	NOUN	56	
is	zijn	AUX	56	
den	dan	SCONJ	56	
t	het	PRON	56	
dialekt	dialeken	VERB	56	
dat	dat	DET	56	
man	man	NOUN	56	
krigt	krijgen	VERB	56	
wen	w	AUX	56	
t	het	DET	56	
Oold-Westerwoolds	Oold-Westerwoold	PROPN	56	
en	en	CCONJ	56	
t	het	DET	56	
Veenkeloniaols	Veenkeloniaols	PROPN	56	
saomensmelt	saomensmelen	VERB	56	
.	.	PUNCT	56	
			0	
De	de	DET	57	
eine	eine	NOUN	57	
kenmaarken	kenmaark	VERB	57	
,	,	PUNCT	57	
zo	zo	ADV	57	
as	als	SCONJ	57	
de	de	DET	57	
oetgank	oetgng	NOUN	57	
up	ep	VERB	57	
-	-	PUNCT	57	
t	het	PRON	57	
bie	bij	ADP	57	
aal	al	DET	57	
meervoldsvörms	meervoldsvorm	NOUN	57	
en	en	CCONJ	57	
de	de	DET	57	
Duutsege	Duutseg	ADJ	57	
woorden	wooren	NOUN	57	
as	als	SCONJ	57	
‘	‘	PUNCT	57	
nich	nich	INTJ	57	
’	’	PUNCT	57	
,	,	PUNCT	57	
verdwient	verdwijnen	VERB	57	
almaol	almaol	ADV	57	
.	.	PUNCT	57	
Anner	andnere	ADJ	58	
kenmaarken	kenmaark	NOUN	58	
blieft	blieffen	VERB	58	
,	,	PUNCT	58	
zo	zo	ADV	58	
as	als	SCONJ	58	
de	de	DET	58	
u	e	NOUN	58	
in	in	ADP	58	
stee	plaats	NOUN	58	
van	van	ADP	58	
o	o	PROPN	58	
,	,	PUNCT	58	
zo	zo	ADV	58	
as	als	SCONJ	58	
in	in	ADP	58	
'	'	PUNCT	58	
op	op	ADP	58	
'	'	PUNCT	58	
en	en	CCONJ	58	
‘	‘	PUNCT	58	
schot	schot	NOUN	58	
’	’	PUNCT	58	
Cup	Cep	NOUN	58	
'	'	PUNCT	58	
en	en	CCONJ	58	
'	'	PUNCT	58	
schut	schieten	VERB	58	
'	'	PUNCT	58	
)	)	PUNCT	58	
wordt	worden	AUX	58	
noch	noch	ADV	58	
immer	immer	ADJ	58	
behoolden	behoouden	VERB	58	
.	.	PUNCT	58	
			0	
